1983 6 67
1984 6 195
1985 28 366
1986 242 709
1987 506 1,591
1988 895 2,191
1989 1,584 2,839
1990 2,562 3,704
1991 3,110 3,877
1992 3,150 4,357
1993 4,957 4,511
1994 3,985 5,050
1995 4,073 5,541
1996 4,099 5,898
1997 3,574 6,111
1998 4,628 6,759
1999 4,257 8,848
2000 4,663 8,689
2001 4,142 8,608
2002 13,407 8,485
2003 7,009 8,359
2004 21,986 8,384
2005 8,640 8,701
2006 7,766 8,818
2007 7,645 7,913
2008 12,334 7,467
2009 8,913 7,076
2010 8,489 7,231
2011 7,654 6,214
2012 6,936 6,405
2013 7,145 6,362
2014 5,905 5,521
2015 6,556 5,696
2016 5,803 4,112
